name	g1	g2	mean1	mean2	pvalue	fold_change	enriched	qval	Project
46	Microviridae	Control	Disease	0.0056208006802864	0.00421525443326707	0.0490548378261695	1.33344280144199	Control	0.320731050001482	LiJ_2017.pHTN
47	Podoviridae_crAss-like	Control	Disease	0.00688556275698029	0.00152627365802356	0.205140156431946	4.51135530039661	Control	0.407939429732939	LiJ_2017.pHTN
48	Inoviridae	Control	Disease	0.00148219331584376	0.00121254319903481	0.0706917844756327	1.22238392580453	Control	0.320731050001482	LiJ_2017.pHTN
49	Salasmaviridae	Control	Disease	0.00066668746153464	0.000736405579374725	0.679607487684193	1.104573914859	Disease	0.706791787191561	LiJ_2017.pHTN
50	Gratiaviridae	Control	Disease	0.00962579159512497	0.000359416191007852	0.490091353795772	26.7817417132293	Control	0.574854713333677	LiJ_2017.pHTN
51	Flandersviridae	Control	Disease	0.00320172943993877	0.00124723010735333	0.110562486143661	2.56707196295394	Control	0.3593280799669	LiJ_2017.pHTN
52	Autographiviridae	Control	Disease	0.00187346343131953	0.00212136518111605	0.207763355699593	1.13232270545143	Disease	0.407939429732939	LiJ_2017.pHTN
53	Caulimoviridae	Control	Disease	3.22871326496819e-06	3.75247224254906e-06	0.330188636468363	1.16221910544479	Disease	0.476939141565413	LiJ_2017.pHTN
54	Mitoviridae	Control	Disease	3.18009056177688e-06	2.69067520462009e-06	0.508525323333637	1.18189313831578	Control	0.574854713333677	LiJ_2017.pHTN
55	Metaviridae	Control	Disease	9.06506185303511e-06	1.09555055535714e-05	0.213119865145828	1.20854173211222	Disease	0.407939429732939	LiJ_2017.pHTN
56	Circoviridae	Control	Disease	0.000134634619234997	7.24896862161133e-05	0.00971198380532812	1.85729344769974	Control	0.222405173362601	LiJ_2017.pHTN
57	Herelleviridae	Control	Disease	4.41366621362322e-06	1.4062233615236e-06	0.0740148576926498	3.13866654074154	Control	0.320731050001482	LiJ_2017.pHTN
58	Drexlerviridae	Control	Disease	1.83488265636075e-05	2.7731535248575e-05	0.101881045230639	1.51135197405903	Disease	0.3593280799669	LiJ_2017.pHTN
59	Guelinviridae	Control	Disease	3.52648829268293e-07	2.54784339285714e-07	0.773251136458495	1.38410716395262	Control	0.773251136458495	LiJ_2017.pHTN
60	Chaseviridae	Control	Disease	1e-09	8.57884285714286e-09	0.403839408653235	8.57884285714286	Disease	0.499991648808767	LiJ_2017.pHTN
61	Schitoviridae	Control	Disease	2.75729372926829e-06	2.40319001964286e-06	0.646626664734584	1.14734736193606	Control	0.700512220129133	LiJ_2017.pHTN
62	Retroviridae	Control	Disease	1.97263201902439e-05	2.49908386821429e-05	0.389826780264704	1.26687787895193	Disease	0.499991648808767	LiJ_2017.pHTN
63	Rountreeviridae	Control	Disease	3.42492682926829e-08	1e-09	0.251039649066424	34.2492682926829	Control	0.407939429732939	LiJ_2017.pHTN
64	Bornaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
65	Ackermannviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
66	Zobellviridae	Control	Disease	8.22251e-08	2.71667323214286e-07	0.307884639826471	3.30394640096863	Disease	0.470882390322838	LiJ_2017.pHTN
67	Demerecviridae	Control	Disease	1e-09	1.21144178571429e-08	0.229545986467841	12.1144178571429	Disease	0.407939429732939	LiJ_2017.pHTN
68	Polyomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
69	Adenoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
70	Smacoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
71	Parvoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
72	Papillomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
73	Alphaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
74	Betaflexiviridae	Control	Disease	1.05976146341463e-07	1e-09	0.251039649066424	105.976146341463	Control	0.407939429732939	LiJ_2017.pHTN
75	Redondoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
76	Tectiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
77	Potyviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
78	Anelloviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
79	Iflaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
80	Secoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	LiJ_2017.pHTN
81	Siphoviridae	Control	Disease	0.0667091659837099	0.0543365386799033	0.300153276925535	1.22770363376831	Control	0.540275898465962	WengY_2019.CD
82	unknown	Control	Disease	0.81377253789059	0.768629076175898	0.283222442162132	1.05873244080134	Control	0.540275898465962	WengY_2019.CD
83	Myoviridae	Control	Disease	0.072880725582491	0.0502909171568717	0.0820038397621163	1.44918266960921	Control	0.369017278929523	WengY_2019.CD
84	Quimbyviridae	Control	Disease	0.0235268791196468	0.0209293697960377	0.33600074687065	1.12410833909107	Control	0.548539060715182	WengY_2019.CD
85	Podoviridae	Control	Disease	0.00570407496778632	0.00489667537735701	0.89695166499349	1.16488730173187	Control	0.901073280367439	WengY_2019.CD
86	Microviridae	Control	Disease	0.0120694500868385	0.0188521787664954	0.0207372786579602	1.56197495584769	Disease	0.139976630941231	WengY_2019.CD
87	Podoviridae_crAss-like	Control	Disease	0.000385100468126211	0.000865492015221682	0.683977764275381	2.24744472379615	Disease	0.842327774131768	WengY_2019.CD
88	Inoviridae	Control	Disease	0.00107072575959075	0.000546740244337203	0.345376445635485	1.95838109720414	Control	0.548539060715182	WengY_2019.CD
89	Salasmaviridae	Control	Disease	7.18812356458471e-05	0.000330019123654498	0.453390637781854	4.59117210060877	Disease	0.680085956672781	WengY_2019.CD
90	Gratiaviridae	Control	Disease	5.52490984534045e-05	0.000558545921785385	0.0616483254542202	10.1095934127585	Disease	0.332900957452789	WengY_2019.CD
91	Flandersviridae	Control	Disease	0.000545607291017482	0.00160486919634164	0.578856278261756	2.94143649244272	Disease	0.781455975653371	WengY_2019.CD
92	Autographiviridae	Control	Disease	0.000497059489530043	0.00200441172651436	0.781374664620832	4.03253889873319	Disease	0.877622752796966	WengY_2019.CD
93	Caulimoviridae	Control	Disease	3.89299118763814e-06	1.05422722500876e-05	0.697053552113621	2.70801338661224	Disease	0.842327774131768	WengY_2019.CD
94	Mitoviridae	Control	Disease	2.51857109932306e-06	1.05674801056138e-06	0.271182306620676	2.38332230025692	Control	0.540275898465962	WengY_2019.CD
95	Metaviridae	Control	Disease	1.71167552666667e-05	7.3846166195122e-05	0.717538474260395	4.31426196406107	Disease	0.842327774131768	WengY_2019.CD
96	Circoviridae	Control	Disease	5.99197590558018e-05	2.11447046853556e-05	0.217125541284601	2.83379503036053	Control	0.532944510425839	WengY_2019.CD
97	Herelleviridae	Control	Disease	2.53009964760041e-07	1.50586794991853e-06	0.190376930494708	5.95181281237962	Disease	0.526584362684391	WengY_2019.CD
98	Drexlerviridae	Control	Disease	0.000897481494288587	2.2587549965483e-05	0.00758131431329223	39.7334591693242	Control	0.0682318288196301	WengY_2019.CD
99	Guelinviridae	Control	Disease	8.86208666666667e-08	3.14359113414634e-05	0.81261365999719	354.723582874726	Disease	0.877622752796966	WengY_2019.CD
100	Chaseviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
101	Schitoviridae	Control	Disease	1.02482260533333e-05	1.6811812e-06	0.11049813611938	6.09584859343736	Control	0.372931209402909	WengY_2019.CD
102	Retroviridae	Control	Disease	0.00171106722108	0.0755235325805951	1.4949055164984e-05	44.1382615774299	Disease	0.000403624489454568	WengY_2019.CD
103	Rountreeviridae	Control	Disease	1e-09	1.09671238536585e-05	0.296927627064178	10967.1238536585	Disease	0.540275898465962	WengY_2019.CD
104	Bornaviridae	Control	Disease	8.40819746666667e-06	0.000440716826707317	6.91294205096763e-05	52.41513754339	Disease	0.00093324717688063	WengY_2019.CD
105	Ackermannviridae	Control	Disease	1.248978e-08	9.78066502439024e-07	0.901073280367439	78.3093459163432	Disease	0.901073280367439	WengY_2019.CD
106	Zobellviridae	Control	Disease	4.57015753333333e-07	1e-09	0.106754137580322	457.015753333333	Control	0.372931209402909	WengY_2019.CD
107	Demerecviridae	Control	Disease	8.699566e-08	1.50805484121951e-05	0.195031245438663	173.348284410913	Disease	0.526584362684391	WengY_2019.CD
108	Polyomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
109	Adenoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
110	Smacoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
111	Parvoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
112	Papillomaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
113	Alphaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
114	Betaflexiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
115	Redondoviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
116	Tectiviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
117	Potyviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
118	Anelloviridae	Control	Disease	1e-09	9.78047804878049e-08	0.572390436542837	97.8047804878049	Disease	0.781455975653371	WengY_2019.CD
119	Iflaviridae	Control	Disease	1e-09	1e-09	NA	1	Disease	NA	WengY_2019.CD
